"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"42","9489-DEDVP","Female","No","Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No","60+","45-70","4000-6000",0
"43","9867-JCZSP","Female","No","Yes","Yes",17,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.75,418.25,"No","12-18","15-30","<1000",0
"44","4671-VJLCL","Female","No","No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,4861.45,"No","60+","70-80","4000-6000",0
"45","4080-IIARD","Female","No","Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"No","12-18","70-80","<1000",0
"46","3714-NTNFO","Female","No","No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"No","25-60","80-95","2000-4000",0
"47","5948-UJZLF","Male","No","No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"No","< 3","45-70","<1000",0
"48","7760-OYPDY","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes","< 3","80-95","<1000",1
"49","7639-LIAYI","Male","No","No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"No","25-60","70-80","4000-6000",0
"50","2954-PIBKO","Female","No","Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"No","60+","45-70","4000-6000",0
"51","8012-SOUDQ","Female","Yes","No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"No","25-60","80-95","2000-4000",0
"52","9420-LOJKX","Female","No","No","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes","12-18","95+","1000-2000",1
"53","6575-SUVOI","Female","Yes","Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No","25-60","45-70","1000-2000",0
"54","7495-OOKFY","Female","Yes","Yes","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes","7-11","80-95","<1000",1
"55","4667-QONEA","Female","Yes","Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No","25-60","70-80","4000-6000",0
"56","1658-BYGOY","Male","Yes","No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes","12-18","95+","1000-2000",1
"57","8769-KKTPH","Female","No","Yes","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"No","60+","95+","6000+",0
"58","5067-XJQFU","Male","Yes","Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,7076.35,"No","60+","95+","6000+",0
"59","3957-SQXML","Female","No","Yes","Yes",34,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",24.95,894.3,"No","25-60","15-30","<1000",0
"60","5954-BDFSG","Female","No","No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No","60+","95+","6000+",0
"61","0434-CSFON","Female","No","Yes","No",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"No","25-60","95+","4000-6000",0
"62","1215-FIGMP","Male","No","No","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"No","25-60","80-95","4000-6000",0
"64","0557-ASKVU","Female","No","Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,957.1,"No","12-18","45-70","<1000",0
"65","5698-BQJOH","Female","No","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes","7-11","80-95","<1000",1
"66","5122-CYFXA","Female","No","No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"No","3-6","70-80","<1000",0
"67","8627-ZYGSZ","Male","No","Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,3650.35,"No","25-60","70-80","2000-4000",0
"68","3410-YOQBQ","Female","No","No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,2497.2,"No","25-60","70-80","2000-4000",0
"69","3170-NMYVV","Female","No","Yes","Yes",50,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.15,930.9,"No","25-60","15-30","<1000",0
"70","7410-OIEDU","Male","No","No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,887.35,"No","7-11","70-80","<1000",0
"71","2273-QCKXA","Male","No","No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"No","< 3","45-70","<1000",0
"72","0731-EBJQB","Female","No","Yes","Yes",52,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",20.4,1090.65,"No","25-60","15-30","1000-2000",0
"73","1891-QRQSA","Male","Yes","Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"No","60+","95+","6000+",0
"74","8028-PNXHQ","Male","No","Yes","Yes",62,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"No","60+","15-30","1000-2000",0
"75","5630-AHZIL","Female","No","No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"No","3-6","45-70","<1000",0
"76","2673-CXQEU","Female","Yes","No","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"No","25-60","95+","6000+",0
"77","6416-JNVRK","Female","No","No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,2688.85,"No","25-60","45-70","2000-4000",0
"78","5590-ZSKRV","Female","No","Yes","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.65,482.25,"No","7-11","45-70","<1000",0
"79","0191-ZHSKZ","Male","Yes","No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"No","25-60","70-80","2000-4000",0
"80","3887-PBQAO","Female","No","Yes","Yes",45,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",25.9,1216.6,"No","25-60","15-30","1000-2000",0
"81","5919-TMRGD","Female","No","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"Yes","< 3","70-80","<1000",1
"83","9191-MYQKX","Female","No","Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","7-11","70-80","<1000",1
"84","9919-YLNNG","Female","No","No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"No","25-60","95+","4000-6000",0
"85","0318-ZOPWS","Female","No","Yes","No",49,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"No","25-60","15-30","<1000",0
"86","4445-ZJNMU","Male","No","No","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"No","7-11","95+","<1000",0
"87","4808-YNLEU","Female","No","Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"No","25-60","45-70","2000-4000",0
"88","1862-QRWPE","Female","No","Yes","Yes",48,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.65,1057,"No","25-60","15-30","1000-2000",0
"89","2796-NNUFI","Female","No","Yes","Yes",46,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.95,927.1,"No","25-60","15-30","<1000",0
"91","4767-HZZHQ","Male","No","Yes","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"No","25-60","80-95","2000-4000",0
"92","2424-WVHPL","Male","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7,"No","< 3","70-80","<1000",0
"93","7233-PAHHL","Male","No","Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"No","60+","80-95","4000-6000",0
"94","6067-NGCEU","Female","No","No","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"No","60+","95+","6000+",0
"95","9848-JQJTX","Male","No","No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"No","60+","95+","6000+",0
"96","8637-XJIVR","Female","No","No","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes","12-18","70-80","<1000",1
"97","9803-FTJCG","Male","No","Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,4748.7,"No","60+","45-70","4000-6000",0
"98","0278-YXOOG","Male","No","No","No",5,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",21.05,113.85,"Yes","3-6","15-30","<1000",1
"99","3212-KXOCR","Male","No","No","No",52,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",21,1107.2,"No","25-60","15-30","1000-2000",0
"100","4598-XLKNJ","Female","Yes","Yes","No",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","25-60","95+","2000-4000",1
"101","6380-ARCEH","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.2,20.2,"No","< 3","15-30","<1000",0
"102","3679-XASPY","Female","No","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",19.45,19.45,"No","< 3","15-30","<1000",0
"103","7123-WQUHX","Male","No","No","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.6,"No","25-60","80-95","2000-4000",0
"105","3192-NQECA","Male","No","Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes","60+","95+","6000+",1
"107","6728-DKUCO","Female","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.15,7303.05,"No","60+","95+","6000+",0
"109","8597-CWYHH","Male","No","No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,3921.3,"No","25-60","80-95","2000-4000",0
"110","2848-YXSMW","Male","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.4,1363.25,"No","60+","15-30","1000-2000",0
"111","0486-HECZI","Male","No","Yes","No",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes","25-60","95+","4000-6000",1
"112","4549-ZDQYY","Female","No","No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,3042.25,"No","25-60","45-70","2000-4000",0
"113","5712-AHQNN","Female","No","No","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,3954.1,"No","25-60","80-95","2000-4000",0
"114","4846-WHAFZ","Female","Yes","Yes","No",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes","25-60","70-80","2000-4000",1
"116","3071-VBYPO","Male","No","Yes","Yes",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.85,248.4,"No","3-6","80-95","<1000",0
"118","5299-RULOA","Female","No","Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes","7-11","95+","1000-2000",1
"119","8402-OOOHJ","Female","No","No","No",41,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.65,835.15,"No","25-60","15-30","<1000",0
"120","9445-ZUEQE","Male","No","Yes","Yes",27,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",85.2,2151.6,"No","25-60","80-95","2000-4000",0
"121","1091-SOZGA","Female","No","Yes","Yes",56,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.8,5515.45,"No","25-60","95+","4000-6000",0
"122","2928-HLDBA","Female","No","No","No",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.7,112.75,"No","3-6","15-30","<1000",0
"123","0404-SWRVG","Male","No","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes","3-6","70-80","<1000",1
"124","6497-TILVL","Female","No","Yes","Yes",7,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.7,350.35,"No","7-11","45-70","<1000",0
"125","7219-TLZHO","Female","No","Yes","Yes",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.85,62.9,"No","3-6","15-30","<1000",0
"126","4622-YNKIJ","Male","No","No","No",33,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",88.95,3027.65,"No","25-60","80-95","2000-4000",0
"127","4412-YLTKF","Female","Yes","No","No",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.05,2135.5,"Yes","25-60","70-80","2000-4000",1
"128","6734-PSBAW","Male","No","Yes","No",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",23.55,1723.95,"No","60+","15-30","1000-2000",0
"129","3930-ZGWVE","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.75,19.75,"No","< 3","15-30","<1000",0
"131","2876-GZYZC","Female","No","No","No",13,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.95,1215.65,"No","12-18","80-95","1000-2000",0
"133","8587-XYZSF","Male","No","No","No",67,"Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",50.55,3260.1,"No","60+","45-70","2000-4000",0
"135","2372-HWUHI","Male","No","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.35,81.25,"Yes","< 3","30-45","<1000",1
"136","7799-LGRDP","Female","No","No","No",43,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.7,1188.2,"No","25-60","15-30","1000-2000",0
"137","7850-VWJUU","Female","No","No","No",23,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75,1778.5,"No","19-24","70-80","1000-2000",0
"138","3774-VBNXY","Female","No","Yes","Yes",64,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.2,1277.75,"No","60+","15-30","1000-2000",0
"139","6217-KDYWC","Male","No","No","Yes",57,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.6,1170.55,"No","25-60","15-30","1000-2000",0
"140","0390-DCFDQ","Female","Yes","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45,"Yes","< 3","70-80","<1000",1
"141","3146-MSEGF","Female","Yes","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",88.05,6425.65,"No","60+","80-95","6000+",0
"142","4080-OGPJL","Female","No","No","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.15,563.65,"Yes","7-11","70-80","<1000",1
"143","1095-WGNGG","Female","No","Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",101.05,5971.25,"No","60+","95+","4000-6000",0
"144","2636-SJDOU","Male","No","No","No",64,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",84.3,5289.05,"No","60+","80-95","4000-6000",0
"145","1131-QQZEB","Male","Yes","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",23.95,1756.2,"No","60+","15-30","1000-2000",0
"146","5716-EZXZN","Female","No","Yes","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",99.05,6416.7,"No","60+","95+","6000+",0
"147","6837-BJYDQ","Male","No","No","No",3,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.6,61.35,"No","3-6","15-30","<1000",0
"148","2135-RXIHG","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,45.65,"Yes","< 3","45-70","<1000",1
"149","6440-DKQGE","Male","No","No","Yes",30,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",64.5,1929.95,"No","25-60","45-70","1000-2000",0
"150","3466-BYAVD","Male","No","Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",69.5,1071.4,"No","12-18","45-70","1000-2000",0
"151","3780-YVMFA","Female","No","Yes","Yes",8,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",68.55,564.35,"No","7-11","45-70","<1000",0
"152","3874-EQOEP","Male","No","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,655.5,"Yes","7-11","80-95","<1000",1
"153","1679-JRFBR","Female","No","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",108.15,7930.55,"No","60+","95+","6000+",0
"154","9073-ZZIAY","Male","No","Yes","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",86.1,5215.25,"No","60+","80-95","4000-6000",0
"155","3077-RSNTJ","Female","No","Yes","Yes",6,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,113.5,"No","3-6","15-30","<1000",0
